model,trial_id,source_episode_id,switched,observation,p_minus15,p_flat,p_plus15
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,4,0.013854896890276736,0.973377467818519,0.012767635291204326
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,5,0.015089078266123998,0.9655454047885711,0.01936551694530499
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,6,0.02402325981950034,0.9514299384710385,0.02454680170946115
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,7,0.032914641233703454,0.9347429820075482,0.032342376758748376
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,8,0.04449491798648366,0.9182399409007613,0.03726514111275506
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,9,0.054317439655992845,0.9032483666992972,0.04243419364471001
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,10,0.06203166636763672,0.8884342149409497,0.049534118691413644
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,11,0.0745643423509971,0.8746594279975821,0.050776229651420854
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,12,0.08947473571093408,0.8587500625133148,0.0517752017757511
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,13,0.1001353119822253,0.8475469814286868,0.05231770658908791
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,14,0.10840952287004578,0.8351002838755932,0.056490193254361026
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,15,0.12026182755759353,0.8244278864880633,0.05531028595434319
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,16,0.13211081846797762,0.8129622075617592,0.054926973970263054
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,17,0.13231307638524026,0.8090875974492756,0.0585993261654842
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,18,0.14020254646529146,0.8058985517825771,0.053898901752131516
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,19,0.1414910204225005,0.8080603535660787,0.050448626011420784
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,20,0.13998656359447467,0.8111631339308429,0.04885030247468239
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,21,0.13780330867455368,0.8148836423290704,0.04731304899637588
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,22,0.12815458564733467,0.8274793999735207,0.044366014379144635
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,23,0.12650991043753973,0.8363847355423397,0.03710535402012052
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,24,0.10999421735328054,0.8544789780461437,0.03552680460057575
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,25,0.10684599322257311,0.8612948442982563,0.03185916247917049
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,26,0.08897919813075426,0.8818790734308636,0.02914172843838213
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,27,0.08058601107931708,0.8929364070231272,0.026477581897555655
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,28,0.06636981919850996,0.9007223267912021,0.03290785401028785
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,29,0.0563725671533599,0.9070243725910362,0.03660306025560391
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,30,0.037769805337809374,0.9158153822066304,0.04641481245556013
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
flow_matching,test_c4_side+1_episode42201_switch_10,42201,True,1,0.0035898815331188425,0.9921826642939973,0.004227454172883761
